,version,chemical_name,crop_type,application_rate,application_method,empirical_residue,empirical_pollen,empirical_nectar,empirical_jelly,adult_contact_ld50,adult_oral_ld50,adult_oral_noael,larval_ld50,larval_noael,log_kow,koc,mass_tree_vegetation,lw1_jelly,lw2_jelly,lw3_jelly,lw4_nectar,lw4_pollen,lw5_nectar,lw5_pollen,ld6_nectar,ld6_pollen,lq1_jelly,lq2_jelly,lq3_jelly,lq4_jelly,aw_cell_nectar,aw_cell_pollen,aw_brood_nectar,aw_brood_pollen,aw_comb_nectar,aw_comb_pollen,aw_fpollen_nectar,aw_fpollen_pollen,aw_fnectar_nectar,aw_fnectar_pollen,aw_winter_nectar,aw_winter_pollen,ad_nectar,ad_pollen,aq_jelly
0,1,imidacloprid,corn,3,soil,no,,,,0.043,0.0039,0.00016,0.005,0.0018,0.56820172,318,,1.9,9.4,19,60,1.8,120,3.6,130,3.6,1.9,9.4,23,141,60,6.65,140,9.6,60,1.7,43.5,0.041,292,0.041,29,2,235,0.0002,525
1,1,idontknow,corn,1.6,tree,no,,,,1.1,0.35,0.03,0.17,0.02,,,856.2,1.9,9.4,19,60,1.8,120,3.6,130,3.6,1.9,9.4,23,141,60,6.65,140,9.6,60,1.7,43.5,0.041,292,0.041,29,2,235,0.0002,525
2,1,idontknow,corn,8.5,soil,yes,0.0034,0.027,0.0006,,,,,,0.64,12.8,,1.9,9.4,19,60,1.8,120,3.6,130,3.6,1.9,9.4,23,141,60,6.65,140,9.6,60,1.7,43.5,0.041,292,0.041,29,2,235,0.0002,525
3,1,idontknow,corn,6.2,spray,no,,,,6.7,11,3.2,0.18,5.6,,,,1.9,9.4,19,60,1.8,120,3.6,130,3.6,1.9,9.4,23,141,60,6.65,140,9.6,60,1.7,43.5,0.041,292,0.041,29,2,235,0.0002,525
4,1,idontknow,corn,0.27,soil,no,,,,3.5,1.8,0.84,5.1,6.2,3.6,9.2,,1.9,9.4,19,60,1.8,120,3.6,130,3.6,1.9,9.4,23,141,60,6.65,140,9.6,60,1.7,43.5,0.041,292,0.041,29,2,235,0.0002,525
5,1,idontknow,corn,3.9,seed,yes,16.4,1.5,1.9,,,,,,,,,1.9,9.4,19,60,1.8,120,3.6,130,3.6,1.9,9.4,23,141,60,6.65,140,9.6,60,1.7,43.5,0.041,292,0.041,29,2,235,0.0002,525
6,1,idontknow,corn,14.5,spray,yes,6.5,0.88,1.42,,,,,,,,,1.9,9.4,19,60,1.8,120,3.6,130,3.6,1.9,9.4,23,141,60,6.65,140,9.6,60,1.7,43.5,0.041,292,0.041,29,2,235,0.0002,525
7,1,idontknow,corn,22,tree,no,,,,11.5,2.3,3.8,0.19,0.33,,,53.9,1.9,9.4,19,60,1.8,120,3.6,130,3.6,1.9,9.4,23,141,60,6.65,140,9.6,60,1.7,43.5,0.041,292,0.041,29,2,235,0.0002,525
8,1,idontknow,corn,7.6,soil,yes,1.4,3.8,0.78,,,,,,1.6,22.3,,1.9,9.4,19,60,1.8,120,3.6,130,3.6,1.9,9.4,23,141,60,6.65,140,9.6,60,1.7,43.5,0.041,292,0.041,29,2,235,0.0002,525
9,1,idontknow,corn,0.95,spray,no,,,,0.66,0.78,5.4,6.8,9.7,,,,1.9,9.4,19,60,1.8,120,3.6,130,3.6,1.9,9.4,23,141,60,6.65,140,9.6,60,1.7,43.5,0.041,292,0.041,29,2,235,0.0002,525
