,chem_name,use,formu_name,percent_act_ing,application_type,seed_treatment_formulation_name,max_seed_rate,seed_crop,row_spacing,bandwidth,percent_incorp,density,foliar_diss_hlife,num_apps,app_rates,day_out,ld50_bird,species_of_the_tested_bird_avian_ld50,tw_bird_ld50,lc50_bird,species_of_the_tested_bird_avian_lc50,tw_bird_lc50,noaec_bird,species_of_the_tested_bird_avian_noaec,tw_bird_noaec,noael_bird,species_of_the_tested_bird_avian_noael,tw_bird_noael,aw_bird_sm,aw_bird_md,aw_bird_lg,mineau_sca_fact,ld50_mamm,lc50_mamm,noaec_mamm,noael_mamm,aw_mamm_sm,aw_mamm_md,aw_mamm_lg,tw_mamm
0,Triticonazole,Turf,Trinity,100,Broadcast-Liquid,,0,,0,0,0,0,35,3,"[1.15,1.15,1.15]","[1,11,21]",1900,Bobwhite quail,178,5000,Bobwhite quail,178,172,Bobwhite quail,178,,,,20,100,1000,1.15,2000,,750,,15,35,1000,350
1,Simazine,alfalfa,,100,Broadcast-Liquid,,,,,,0,0,35,1,[1.6],[1],4640,Bobwhite quail,178,5000,Bobwhite quail,178,100,Mallard duck,1580,,,,20,100,1000,1.15,5000,,10,0.56,15,35,1000,350
2,Simazine,Corn Fallow,,100,Broadcast-Liquid,,,,,,0,0,35,1,[1],[1],4640,Bobwhite quail,178,5000,Bobwhite quail,178,100,Mallard duck,1580,,,,20,100,1000,1.15,5000,,10,0.56,15,35,1000,350
3,Simazine,alfalfa,,100,Broadcast-Liquid,,,,,,0,0,35,2,"[2,0.5]","[1,15]",4640,Bobwhite quail,178,5000,Bobwhite quail,178,100,Mallard duck,1580,,,,20,100,1000,1.15,5000,,10,0.56,15,35,1000,350
4,Atrazine,sugar beet,,100,Broadcast-Liquid,,,,,,0,0,35,4,"[4,2,2,2]","[1,15,29,43]",783,Bobwhite quail,178,5000,Bobwhite quail,178,75,Mallard duck,1580,,,,20,100,1000,1.15,1869,,50,3.7,15,35,1000,350
5,Atrazine,"corn, all unspecified",,100,Broadcast-Liquid,,,,,,0,0,35,2,"[2,0.5]","[1,15]",783,Bobwhite quail,178,5000,Bobwhite quail,178,75,Mallard duck,1580,,,,20,100,1000,1.15,1869,,50,3.7,15,35,1000,350
6,Profenofos,"cotton, all or unspecified",,100,Broadcast-Liquid,,,,,,0,0,35,10,"[0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5]","[1,6,11,16,21,26,31,36,41,46]",10,Canary,21.5,57,Bobwhite quail,178,1,Bobwhite quail,178,,,,20,100,1000,1.15,300,,7.3,0.365,15,35,1000,350
7,Maleic Hydrazide,onion,,100,Broadcast-Liquid,,,,,,0,0,35,1,[2.9],[1],2000,Canary,24.5,5620,Mallard duck,1580,,,,,,,20,100,1000,1.15,5000,,10000,500,15,35,1000,350
8,Dicamba,soybean,,100,Broadcast-Liquid,,,,,,0,0,8.4,3,"[1,0.5,0.5]","[1,8,15]",188,Bobwhite quail,178,10000,Bobwhite quail,178,695,Mallard duck,1580,,,,20,100,1000,1.15,2740,,2720,136,15,35,1000,350
9,Thiabendazole,cucumber,,42.3,Seed treatment (Rows/Band/In-furrow; Granular),,11.6,,0,0,,9.692670395,35,1,[3.493673325],[1],4640,Bobwhite quail,178,5620,Bobwhite quail,178,400,Bobwhite quail,178,,,,20,100,1000,1.15,4734,,200,10,15,35,1000,350
